"surface","prov","n"
"PORT WADE","NS",100
"NORTH GROVE","SK",100
"HAZLET","SK",100
"DOKIS FIRST NATION","ON",100
"NORTH BUXTON","ON",100
"BLUE RIVER","BC",100
"ST JUDES","NL",100
"LOWER FREETOWN","PE",100
"HARTFORD","NB",99
"ORANGEDALE","NS",99
"SEVEN SISTERS FALLS","MB",99
"MCLURE","BC",99
"KINCOLITH","BC",99
"TUXFORD","SK",99
"TOPLEY","BC",99
"ST GERMAIN SOUTH","MB",99
"MOYIE","BC",99
"SAINT-LAURENT","NB",99
"KINSAC","NS",99
"LITTLE POND","NS",99
"BENACADIE","NS",99
"BURRITTS RAPIDS","ON",98
"BELLEVUE","NL",98
"CHASWOOD","NS",98
"CHARLESTON","NS",98
"NEWTOWN","NL",98
"ST BERNARDS-JACQUES FONTAINE","NL",98
"GREGOIRE LAKE 176A","AB",98
"SCOTCH LAKE","NB",98
"CENTRAL COAST A","BC",98
"SKWAY 5","BC",98
"CHEVERY","QC",98
"LAKEVILLE CARLETON CO","NB",98
"CRESTON 1","BC",98
"QUESNEL 1","BC",98
"GOODERHAM","ON",98
"MCNAMEE","NB",98
"BAXTERS HARBOUR","NS",98
"EDEN LAKE","NS",98
"SARTO","MB",98
"FOUR ROADS","NB",98
"TETE-A-LA-BALEINE","QC",98
"KIPPASE 2","BC",98
"LEITCHES CREEK","NS",98
"BONANZA","AB",98
"DUBUC","SK",98
"BOOM ROAD","NB",98
"BRENTWOOD","NS",98
"CARLOW","NB",97
"COAL CREEK","NB",97
"MEDUCTIC","NB",97
"MOUNTAIN VIEW","AB",97
"STROME","AB",97
"STONEY CREEK","NB",97
"HAWKES BAY","NL",97
"BARNETTVILLE","NB",97
"KINGSBORO","PE",97
"MOLEGA LAKE","NS",97
"SIK-E-DAKH","BC",97
"ST IVES","BC",97
"PLUMAS","MB",97
"L'ETETE","NB",97
"DAMASCUS","NB",97
"MAIN POINT","NL",96
"HAUT-PAQUETVILLE","NB",96
"POINTE-AUX-LOUPS","QC",96
"EAST KEMPTVILLE","NS",96
"CHAWATHIL 4","BC",96
"GALLANTS","NL",96
"PORTAGE","NB",96
"AYLSHAM","SK",96
"LABELLE","NS",96
"BOISDALE","NS",96
"TIGNISH SHORE","PE",96
"IBEX VALLEY","YT",96
"MAQUAPIT LAKE","NB",96
"SIMONDS","NB",96
"FORT AUGUSTUS","PE",96
"BUCTOUCHE 16","NB",96
"WISETON","SK",96
"SAINT-GREGOIRE","NB",96
"LITTLE CATALINA","NL",96
"GALAHAD","AB",95
"RIVERSDALE","NS",95
"SUMMIT LAKE","BC",95
"ALTON","NS",95
"FOREST GLEN","NS",95
"BEAVER COVE","NS",95
"KINTORE","ON",95
"SPECTACLE LAKES","NS",95
"RM OF SHERWOOD","SK",95
"TRINITY BB","NL",95
"BAYPORT","NS",95
"WOODMANS POINT","NB",95
"ROSE BAY","NS",95
"KITKATLA","BC",95
"UPPER QUEENSBURY","NB",95
"JORDAN RIVER","BC",95
"WEST BROOKLYN","NS",95
"CHITEK LAKE","SK",95
"PORT UNION","NL",95
"TROUT BROOK","NB",95
"MCKILLOP NO. 220","SK",94
"FORT MCKAY 174","AB",94
"UPPER TRACY","NB",94
"ADDINGTON FORKS","NS",94
"ENNISKILLEN NO. 3","SK",94
"TRINITY (TRINITY BAY)","NL",94
"MORRISDALE","NB",94
"BURNT CHURCH","NB",94
"PORT LA TOUR","NS",94
"MURRAY HARBOUR NORTH","PE",94
"NOEL","NS",94
"DIVISION NO.  8, SUBD. G","NL",94
"STANLEY","NS",94
"NIMPO LAKE","BC",94
"MINGS BIGHT","NL",94
"ROCHEBAUCOURT","QC",94
"VICTORIA VALE","NS",94
"DESMELOIZES","QC",94
"HABITANT","NS",94
"HORTONVILLE","NS",94
"GREAT FALLS","MB",94
"SOUTH BRANCH","NS",94
"PETIT-TRACADIE","NB",93
"BELLEVILLE","NB",93
"BALFRON","NS",93
"DARWELL","AB",93
"WOODSTOCK","PE",93
"CAZAVILLE","QC",93
"UPPER LAKEVILLE","NS",93
"STICKNEY","NB",93
"GRANDE GREVE","NS",93
"ST LUNAIRE-GRIQUET","NL",93
"OAK RIVER","MB",93
"MARQUIS","SK",93
"BLACK LAKE","SK",93
"BENOIT","NB",93
"KAPASIWIN","AB",93
"CLYDESDALE","NS",92
"CHEPSTOW","PE",92
"OXFORD JUNCTION","NS",92
"UPPER NORTHFIELD","NS",92
"KITSAKIE 156B","SK",92
"CHEVERIE","NS",92
"CALIFORNIA SETTLEMENT","NB",92
"ROLLO BAY","PE",92
"ST-JEAN-BAPTISTE","NB",92
"TILDEN LAKE","ON",92
"ROUND HILL","AB",92
"SAINT-MAURE","NB",92
"YAHK","BC",92
"FLORADALE","ON",92
"ISLANDVIEW","NS",92
"OHAMIL 1","BC",92
"HOPEWELL CAPE","NB",92
"SHAWANAGA 17","ON",92
"BIRCH COVE","AB",92
"PURPLE SPRINGS","AB",92
"GEM","AB",92
"SEABROOK","NS",92
"AINSWORTH HOT SPRINGS","BC",91
"DIXONVILLE","AB",91
"SEELEYS COVE","NB",91
"RINES CREEK","NS",91
"BRULE SHORE","NS",91
"BAY VIEW","NB",91
"CENTRE","NS",91
"ROSEMONT","ON",91
"PINE RIVER","MB",91
"HOLTVILLE","NB",91
"CLARENDON","NB",91
"GREEN BAY","NS",91
"CLARENDON STATION","ON",91
"LETELLIER","MB",91
"MARGAREE FORKS","NS",91
"AVONDALE","NS",91
"HOPEWELL HILL","NB",90
"FORT GEORGE 2","BC",90
"KANNATA VALLEY","SK",90
"DEWDNEY","BC",90
"NORTH WALLACE","NS",90
"MACRORIE","SK",90
"NEW LINE","NB",90
"NESKONLITH","BC",90
"PORTER COVE","NB",90
"BRYANT'S COVE","NL",90
"SASKATCHEWAN LANDING NO. 167","SK",90
"CUMBERLAND HOUSE CREE NATION 20","SK",90
"SHEFFIELD","NB",90
"SUCKER RIVER 156C","SK",90
"UPPER NORTH RIVER","NS",90
"CROUSETOWN","NS",90
"WALLACE","NS",90
"HUSTALEN 1","BC",90
"SEAFOAM","NS",89
"LYTTLETON","NB",89
"JACKSONTOWN","NB",89
"WALLBROOK","NS",89
"VICTORIA BEACH","NS",89
"KENVILLE","MB",89
"MACKEY","ON",89
"MACKAY SIDING","NS",89
"SPRING VALLEY","PE",89
"SOUTH MAITLAND","NS",89
"VALHALLA CENTRE","AB",89
"SAINTE-ROSETTE","NB",89
"MOUNT HANLEY","NS",89
"NORTH MILTON","PE",89
"GLENMONT","NS",89
"CROSS CREEK","NB",89
"TRACYVILLE","NB",89
"MD OF BONNYVILLE","AB",89
"ST-JOSEPH-DU-MOINE","NS",88
"UPPER DYKE","NS",88
"KOKSILAH","BC",88
"WAIPAROUS","AB",88
"NORTH TACLA LAKE","BC",88
"ALVENA","SK",88
"ELMA","MB",88
"LAURIER","MB",88
"LILLOOET 1","BC",88
"L'ANSE AU CLAIR","NL",88
"TEES","AB",88
"FAIRVIEW","PE",88
"MALAHAT 11","BC",88
"ACACIAVILLE","NS",88
"WATERSIDE","NS",87
"SISSON RIDGE","NB",87
"KEMPT SHORE","NS",87
"COOKING LAKE","AB",87
"DALHOUSIE","QC",87
"BRIGGS CORNER QUEENS CO","NB",87
"MELANSON","NS",87
"WEAVER SETTLEMENT","NS",87
"HADASHVILLE","MB",87
"SANCA","BC",87
"LOWER BURLINGTON","NS",87
"LONG ISLAND","NS",87
"DEBEC","NB",87
"COATSWORTH STATION","ON",87
"PORT HOPE SIMPSON","NL",87
"ST MARYS","NL",87
